5. January 2010 | 11:45:06 | - HealthHack = 1
5. January 2010 | 11:45:06 | - ArmourHack = 1
5. January 2010 | 11:45:06 | - DriveBy = 1
5. January 2010 | 11:45:06 | - Spam = 1
5. January 2010 | 11:45:06 | - CommandSpam = 1
5. January 2010 | 11:45:06 | - BadWords = 0
5. January 2010 | 11:45:06 | - CarJackHack = 1
5. January 2010 | 11:45:06 | - TeleportHack = 1
5. January 2010 | 11:45:06 | - MaxPing = 450
5. January 2010 | 11:45:06 | - SpectateHack = 1
5. January 2010 | 11:45:06 | - Blacklist = 1
5. January 2010 | 11:45:06 | - IpBans = 1
5. January 2010 | 11:45:06 | - TempBans = 1
5. January 2010 | 11:45:06 | - SpawnKill = 0
5. January 2010 | 11:45:06 | - CapsLock = 1
5. January 2010 | 11:45:06 | - 3DSpeed = 0
5. January 2010 | 11:45:06 | - MaxSpeed = 220
5. January 2010 | 11:45:06 | - AdminImmunity = 1
5. January 2010 | 11:45:06 | - Advertisement = 0
5. January 2010 | 11:45:06 | - FreezeUpdate = 0
5. January 2010 | 11:45:06 | - SpawnTime = 10
5. January 2010 | 11:45:06 | 1 IP-bans have been loaded.
5. January 2010 | 11:45:06 | 1 temporary bans have been loaded.
5. January 2010 | 11:45:06 | 2 whitelist entries have been loaded.
5. January 2010 | 11:45:06 | 4 blacklist entries have been loaded.
5. January 2010 | 11:45:06 | 41 bad words have been loaded.
5. January 2010 | 11:45:06 | 4 forbidden weapons have been loaded.
5. January 2010 | 11:45:06 | JunkBuster has been configurated.
5. January 2010 | 11:45:06 | JunkBuster has successfully been loaded.
5. January 2010 | 13:53:11 | IP 86.7.208.74 has logged in as RCON-admin
5. January 2010 | 15:25:48 | IP 86.7.208.74 has logged in as RCON-admin
5. January 2010 | 16:36:19 | IP 86.7.208.74 has logged in as RCON-admin
5. January 2010 | 17:06:06 | [AS]Frizz (82.209.128.253) has been kicked for Command spam.
5. January 2010 | 17:19:29 | Current JunkBuster configuration:
5. January 2010 | 17:19:29 | - WeaponHack = 1
5. January 2010 | 17:19:29 | - MoneyHack = 1
5. January 2010 | 17:19:29 | - Jetpack = 1
5. January 2010 | 17:19:29 | - HealthHack = 1
5. January 2010 | 17:19:29 | - ArmourHack = 1
5. January 2010 | 17:19:29 | - DriveBy = 1
5. January 2010 | 17:19:29 | - Spam = 1
5. January 2010 | 17:19:29 | - CommandSpam = 1
5. January 2010 | 17:19:29 | - BadWords = 0
5. January 2010 | 17:19:29 | - CarJackHack = 1
5. January 2010 | 17:19:29 | - TeleportHack = 1
5. January 2010 | 17:19:29 | - MaxPing = 450
5. January 2010 | 17:19:29 | - SpectateHack = 1
5. January 2010 | 17:19:29 | - Blacklist = 1
5. January 2010 | 17:19:29 | - IpBans = 1
5. January 2010 | 17:19:29 | - TempBans = 1
5. January 2010 | 17:19:29 | - SpawnKill = 0
5. January 2010 | 17:19:29 | - CapsLock = 1
5. January 2010 | 17:19:29 | - 3DSpeed = 0
5. January 2010 | 17:19:29 | - MaxSpeed = 220
5. January 2010 | 17:19:29 | - AdminImmunity = 1
5. January 2010 | 17:19:29 | - Advertisement = 0
5. January 2010 | 17:19:29 | - FreezeUpdate = 0
5. January 2010 | 17:19:29 | - SpawnTime = 10
5. January 2010 | 17:19:29 | 1 IP-bans have been loaded.
5. January 2010 | 17:19:29 | 1 temporary bans have been loaded.
5. January 2010 | 17:19:29 | 2 whitelist entries have been loaded.
5. January 2010 | 17:19:29 | 4 blacklist entries have been loaded.
5. January 2010 | 17:19:29 | 41 bad words have been loaded.
5. January 2010 | 17:19:29 | 4 forbidden weapons have been loaded.
5. January 2010 | 17:19:29 | JunkBuster has been configurated.
5. January 2010 | 17:19:29 | JunkBuster has successfully been loaded.
5. January 2010 | 17:20:51 | Current JunkBuster configuration:
5. January 2010 | 17:20:51 | - WeaponHack = 1
5. January 2010 | 17:20:51 | - MoneyHack = 1
5. January 2010 | 17:20:51 | - Jetpack = 1
5. January 2010 | 17:20:51 | - HealthHack = 1
5. January 2010 | 17:20:51 | - ArmourHack = 1
5. January 2010 | 17:20:51 | - DriveBy = 1
5. January 2010 | 17:20:51 | - Spam = 1
5. January 2010 | 17:20:51 | - CommandSpam = 1
5. January 2010 | 17:20:51 | - BadWords = 0
5. January 2010 | 17:20:51 | - CarJackHack = 1
